Treatment,Standardized Treatment,Category
Consultation,Consultation,Student
Periapical X-Ray,Caries Xrays,Student
Filling,Minor Fill Back Teeth,Student
Scaling,Quick Clean - Scalling,Student
Dental Sealants,Prevention Seal package,Student
Consultation,Consultation,Parent
Periapical X-Ray,Caries Xrays,Parent
Scaling,Quick Clean - Scalling,Parent
Gum Surgery,Gingivectomy - per tooth,Parent
Tooth Extraction,Medium Extraction,Parent
Bleaching,Sparkling Smile (In & Out),Parent
Crown,1 Crown,Parent
Bridge,3 Bridge Treatment,Parent